update,mean_train_u_ctrl,method,update_seconds,trajectories_sampled,policy_entropy,validation_mean_u_ctrl,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_checkpoint_score,validation_meets_unique_floor
742,0.1096875,RL-sBOED,0.622812032699585,47488,3.7815418243408203,,,,,,
743,0.10898437500000001,RL-sBOED,0.6223461627960205,47552,3.75584077835083,,,,,,
744,0.11742187500000001,RL-sBOED,0.6235196590423584,47616,3.813624620437622,,,,,,
745,0.108984375,RL-sBOED,0.6217484474182129,47680,3.8400497436523438,,,,,,
746,0.1121484375,RL-sBOED,0.623542070388794,47744,3.8681602478027344,,,,,,
747,0.11390624999999999,RL-sBOED,0.6228394508361816,47808,3.840237855911255,,,,,,
748,0.10652343750000001,RL-sBOED,0.6239180564880371,47872,3.861478805541992,,,,,,
749,0.124453125,RL-sBOED,0.6228525638580322,47936,3.856903076171875,,,,,,
750,0.11109375,RL-sBOED,0.6220138072967529,48000,3.8382441997528076,0.10230468750000002,3,0.5532219704125939,0.0234375,0.10230468750000002,0
751,0.118828125,RL-sBOED,0.6148614883422852,48064,3.851975202560425,,,,,,
752,0.1016015625,RL-sBOED,0.6235306262969971,48128,3.8744804859161377,,,,,,
753,0.10546875,RL-sBOED,0.6216988563537598,48192,3.869919538497925,,,,,,
754,0.118125,RL-sBOED,0.6218240261077881,48256,3.872941255569458,,,,,,
755,0.1156640625,RL-sBOED,0.6225152015686035,48320,3.8772523403167725,,,,,,
756,0.10125,RL-sBOED,0.6228039264678955,48384,3.880199432373047,,,,,,
757,0.11179687499999999,RL-sBOED,0.6165516376495361,48448,3.8460609912872314,,,,,,
758,0.10511718750000001,RL-sBOED,0.6223721504211426,48512,3.8740947246551514,,,,,,
759,0.1142578125,RL-sBOED,0.6220016479492188,48576,3.853580951690674,,,,,,
760,0.10722656250000001,RL-sBOED,0.6225559711456299,48640,3.8761355876922607,,,,,,
761,0.10546875,RL-sBOED,0.6220455169677734,48704,3.870398759841919,,,,,,
762,0.11707031250000001,RL-sBOED,0.6223840713500977,48768,3.8727715015411377,,,,,,
