system,sequence,xi1,xi2,xi3,mean_u_ctrl,std_u_ctrl,mean_u_raw,std_u_raw,n_eval
ieee5,29 23 9,29,23,9,0.8612500000000001,0.12697809850521466,0.860625,0.14441557871296293,80.0
ieee5,6 8 1,6,8,1,0.8625,0.1208045942834957,0.860625,0.13799767887540715,80.0
ieee5,21 7 14,21,7,14,0.85125,0.12746935906326665,0.8493749999999999,0.14458858660004942,80.0
ieee5,17 24 9,17,24,9,0.87625,0.12673175411079893,0.880625,0.1492677439201115,80.0
ieee5,20 28 21,20,28,21,0.8487500000000001,0.13037805605238945,0.8475000000000001,0.1472455432262722,80.0
ieee5,20 9 17,20,9,17,0.86625,0.13504050318330424,0.871875,0.15748883889025275,80.0
ieee5,4 26 10,4,26,10,0.85375,0.12839757591169704,0.8518749999999999,0.14543979639355933,80.0
ieee5,12 23 27,12,23,27,0.87375,0.131095146744645,0.8768750000000001,0.1472548280193216,80.0
ieee5,0 18 12,0,18,12,0.8637499999999999,0.13251768749868828,0.8618749999999998,0.14795348720121465,80.0
ieee5,17 13 8,17,13,8,0.8800000000000001,0.12186057606953941,0.8806250000000002,0.13681505536672486,80.0
ieee5,2 18 3,2,18,3,0.8712499999999999,0.12960878635339504,0.874375,0.14684042146153078,80.0
ieee5,21 11 16,21,11,16,0.88375,0.11229843053222072,0.8756250000000001,0.1296615184817762,80.0
ieee5,24 18 15,24,18,15,0.8550000000000001,0.13124404748406687,0.85375,0.1480656526679972,80.0
ieee5,19 22 23,19,22,23,0.85,0.13133925536563698,0.8487500000000001,0.14810785765785686,80.0
ieee5,11 25 15,11,25,15,0.8675,0.11808365678619547,0.8618750000000001,0.13675794081149362,80.0
ieee5,19 14 10,19,14,10,0.89375,0.1165587298317891,0.911875,0.1519135753479589,80.0
ieee5,3 18 8,3,18,8,0.9324999999999999,0.08481597726843686,0.93875,0.10867813717579074,80.0
ieee5,28 1 16,28,1,16,0.8600000000000001,0.12206555615733704,0.858125,0.13906917118829748,80.0
ieee5,23 8 20,23,8,20,0.8800000000000001,0.11874342087037917,0.878125,0.13319247116485222,80.0
ieee5,20 3 5,20,3,5,0.89375,0.11218706476238693,0.89,0.12830627420356336,80.0
ieee5,6 22 16,6,22,16,0.8612500000000001,0.12598983093885,0.8575000000000002,0.14144345159815633,80.0
ieee5,20 9 12,20,9,12,0.8637499999999999,0.1353179127092936,0.8725000000000002,0.16257690487889104,80.0
ieee5,9 4 21,9,4,21,0.86625,0.11720041595489328,0.8631249999999999,0.13526449783664593,80.0
ieee5,20 13 9,20,13,9,0.85125,0.1294157544505305,0.85,0.14641550464346317,80.0
ieee5,14 21 9,14,21,9,0.8600000000000001,0.12103718436910205,0.85625,0.13882880644880582,80.0
ieee5,5 22 16,5,22,16,0.85,0.13228756555322954,0.8481249999999999,0.14757281041912834,80.0
