update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
897,0.15996094048023224,0.15996094048023224,MoE-sBOED,0.0524287223815918,57408,3.9609527587890625,1.3859758377075195,0.020625215023756027,0.2583479583263397,0.11208837479352951,,,,,,,,,,,
898,0.15644532442092896,0.15644532442092896,MoE-sBOED,0.05172252655029297,57472,3.960814952850342,1.3859527111053467,0.01982012763619423,0.25873106718063354,0.11211886256933212,,,,,,,,,,,
899,0.14906249940395355,0.14906249940395355,MoE-sBOED,0.051509857177734375,57536,3.9603803157806396,1.385926604270935,0.01976693607866764,0.25914233922958374,0.11214946955442429,,,,,,,,,,,
900,0.15398438274860382,0.15398438274860382,MoE-sBOED,0.0525972843170166,57600,3.9598536491394043,1.385963797569275,0.019439268857240677,0.25800231099128723,0.11218880116939545,0.14449218749999998,0.158203125,4,0.5989727640542686,0.03125,0.2109375,0,0.0094921875,1101.767578125,0,required
901,0.15398436784744263,0.15398436784744263,MoE-sBOED,0.049666643142700195,57664,3.9593429565429688,1.3860180377960205,0.019337425008416176,0.25624334812164307,0.11224053800106049,,,,,,,,,,,
902,0.16664062440395355,0.16664062440395355,MoE-sBOED,0.050714731216430664,57728,3.9593124389648438,1.3860505819320679,0.01833353377878666,0.2540857195854187,0.11230160295963287,,,,,,,,,,,
903,0.16101562976837158,0.16101562976837158,MoE-sBOED,0.05200505256652832,57792,3.959383010864258,1.386061191558838,0.01788882352411747,0.2538378834724426,0.1123209223151207,,,,,,,,,,,
904,0.16171875596046448,0.16171875596046448,MoE-sBOED,0.05232119560241699,57856,3.959716320037842,1.3859832286834717,0.016930805519223213,0.2550029456615448,0.11228558421134949,,,,,,,,,,,
905,0.16945312917232513,0.16945312917232513,MoE-sBOED,0.05157470703125,57920,3.9572362899780273,1.3858678340911865,0.01762235164642334,0.25651729106903076,0.11226718127727509,,,,,,,,,,,
906,0.1596093773841858,0.1596093773841858,MoE-sBOED,0.052137136459350586,57984,3.956678867340088,1.3857972621917725,0.018211588263511658,0.25775477290153503,0.11224789172410965,,,,,,,,,,,
907,0.15433593094348907,0.15433593094348907,MoE-sBOED,0.05175924301147461,58048,3.957676649093628,1.3857368230819702,0.01658543571829796,0.2568850517272949,0.11224160343408585,,,,,,,,,,,
908,0.15187498927116394,0.15187498927116394,MoE-sBOED,0.05202364921569824,58112,3.958190679550171,1.3856667280197144,0.015718694776296616,0.2560824751853943,0.11226660013198853,,,,,,,,,,,
909,0.16066406667232513,0.16066406667232513,MoE-sBOED,0.052118539810180664,58176,3.956754207611084,1.3855684995651245,0.01680903695523739,0.2560601830482483,0.11230172216892242,,,,,,,,,,,
910,0.16066406667232513,0.16066406667232513,MoE-sBOED,0.05164670944213867,58240,3.9558615684509277,1.385546088218689,0.017106181010603905,0.25601696968078613,0.11231240630149841,,,,,,,,,,,
911,0.14519530534744263,0.14519530534744263,MoE-sBOED,0.05211758613586426,58304,3.9561901092529297,1.3855984210968018,0.016575604677200317,0.25586649775505066,0.11230391263961792,,,,,,,,,,,
912,0.1508203148841858,0.1508203148841858,MoE-sBOED,0.05195426940917969,58368,3.9571971893310547,1.3856509923934937,0.015375752933323383,0.25552722811698914,0.11227712780237198,,,,,,,,,,,
913,0.1501171886920929,0.1501171886920929,MoE-sBOED,0.0516357421875,58432,3.9583287239074707,1.3857073783874512,0.013689816929399967,0.25510451197624207,0.11222894489765167,,,,,,,,,,,
