update,mean_train_u_ctrl,mean_train_control_cost,method,update_seconds,trajectories_sampled,policy_entropy,router_entropy,expert_redundancy,max_expert_usage,expert_residual_scale,validation_mean_u_ctrl,validation_mean_mocu,validation_n_unique_sequences,validation_sequence_entropy,validation_unique_frac,validation_under_control_rate,validation_valid,validation_mean_shortfall,validation_checkpoint_score,validation_meets_unique_floor,moe_adaptivity_constraint
381,0.18140624463558197,0.18140624463558197,MoE-sBOED,0.056539297103881836,24384,2.7116003036499023,1.383951187133789,0.0010599124943837523,0.2681916356086731,0.11952672153711319,,,,,,,,,,,
382,0.16499999165534973,0.16499999165534973,MoE-sBOED,0.05692005157470703,24448,2.661548376083374,1.3838841915130615,0.001184258027933538,0.2690408229827881,0.1195225641131401,,,,,,,,,,,
383,0.18515625596046448,0.18515625596046448,MoE-sBOED,0.05771684646606445,24512,2.6740517616271973,1.3838086128234863,0.0016345444601029158,0.2693583369255066,0.11951430886983871,,,,,,,,,,,
384,0.18140625953674316,0.18140625953674316,MoE-sBOED,0.05678081512451172,24576,2.689070701599121,1.3840723037719727,0.001722907880321145,0.2671153247356415,0.11947637051343918,,,,,,,,,,,
385,0.1743749976158142,0.1743749976158142,MoE-sBOED,0.05663347244262695,24640,2.5666427612304688,1.3844308853149414,0.001898587099276483,0.2634257376194,0.11944223940372467,,,,,,,,,,,
386,0.18937499821186066,0.18937499821186066,MoE-sBOED,0.05780982971191406,24704,2.554962635040283,1.3845840692520142,0.001793166622519493,0.25915247201919556,0.1194089949131012,,,,,,,,,,,
387,0.17156250774860382,0.17156250774860382,MoE-sBOED,0.05682492256164551,24768,2.665760040283203,1.384592890739441,0.0016030261758714914,0.2589615285396576,0.11935677379369736,,,,,,,,,,,
388,0.17765626311302185,0.17765626311302185,MoE-sBOED,0.061556100845336914,24832,2.70442533493042,1.3845107555389404,0.0016413331031799316,0.25940537452697754,0.11934642493724823,,,,,,,,,,,
389,0.1809374988079071,0.1809374988079071,MoE-sBOED,0.05642986297607422,24896,2.783632278442383,1.3844096660614014,0.001790724927559495,0.2600666582584381,0.11936533451080322,,,,,,,,,,,
390,0.18984374403953552,0.18984374403953552,MoE-sBOED,0.057691097259521484,24960,2.721306324005127,1.3843923807144165,0.002095556817948818,0.2591543197631836,0.11938275396823883,,,,,,,,,,,
391,0.1823437511920929,0.1823437511920929,MoE-sBOED,0.05774283409118652,25024,2.6371331214904785,1.3842806816101074,0.0021474265959113836,0.25862687826156616,0.11936650425195694,,,,,,,,,,,
392,0.17859375476837158,0.17859375476837158,MoE-sBOED,0.05703091621398926,25088,2.7217445373535156,1.3842699527740479,0.0022116447798907757,0.2606857419013977,0.119320809841156,,,,,,,,,,,
